mmsi,type,type_specific,name,country_iso
636022218,Tanker,Crude Oil Tanker,PALLADIUM,LR
636022151,,,,
636022086,Tanker,Chemical Tanker,K INSET,LR
636022064,,,,
636022051,,,,
636022044,Cargo - Hazard A (Major),Container Ship,DEPE,LR
636022015,,,,
636021994,Cargo - Hazard A (Major),Container Ship,MSC MICHIGAN VII,LR
636021993,Cargo - Hazard C (Minor),Container Ship,MSC DARWIN VI,LR
636021935,Cargo,Bulk Carrier,DANAE,LR
636021923,Tanker,Oil or Chemical Tanker,HIGH DISCOVERY,LR
636021913,Cargo,Container Ship,MSC NISHA V,LR
636021888,Cargo - Hazard B,Container Ship,MSC FREEPORT,LR
636021874,Tanker,Oil Products Tanker,SEA CORAL,LR
636021856,Cargo,Vehicles Carrier,MORNING MIDAS,LR
636021853,Tanker,Oil or Chemical Tanker,ALKEA,LR
636021791,,,,
636021783,,,,
636021770,Cargo,Container Ship,MSC AAYA,LR
636021739,Cargo - Hazard A (Major),Container Ship,ZIM CHINA,LR
636021738,Cargo,General Cargo,TOLMI,LR
636021729,,,,
636021728,Tanker,Crude Oil Tanker,TIGANI,LR
636021692,Tanker,Oil Products Tanker,MINERVA LYDIA,LR
636021666,Cargo - Hazard A (Major),Container Ship,MSC DARLENE,LR
636021665,Cargo - Hazard A (Major),Container Ship,MSC BERANGERE,LR
636021664,Cargo - Hazard A (Major),Container Ship,ZIM ASIA,LR
636021616,,,,
636021584,Cargo,Bulk Carrier,MH SANDEFJORD,LR
636021552,Tanker,Oil or Chemical Tanker,TWIST,LR
636021517,Cargo,Container Ship,MSC ANTWERP III,LR
636021472,Cargo - Hazard A (Major),Container Ship,ZIM ATLANTIC,LR
636021450,Cargo,General Cargo,FISHER,LR
636021433,Cargo,General Cargo,PACIFIC INNOVATION,LR
636021408,Cargo - Hazard A (Major),Container Ship,MSC FIE X,LR
636021393,Cargo - Hazard A (Major),Container Ship,MSC EVEREST VIII,LR
636021366,Cargo - Hazard A (Major),Container Ship,MSC VIRGINIA,LR
636021365,Cargo - Hazard A (Major),Container Ship,MSC WASHINGTON,LR
636021343,Tanker,Crude Oil Tanker,ASIA,LR
636021322,Cargo - Hazard A (Major),General Cargo,ELBE,LR
636021316,,,,
636021302,Cargo,Container Ship,MSC GEORGIA II,LR
636021251,Cargo - Hazard A (Major),Container Ship,MSC ADONIS,LR
636021250,Cargo,Container Ship,MSC ANDRIANA III,LR
636021246,Cargo,Container Ship,MSC PAMIRA III,LR
636021195,Tanker,Crude Oil Tanker,AQUAHONOR,LR
636021194,Tanker,Crude Oil Tanker,AQUABLISS,LR
636021184,Other,Container Ship,JAGUAR,LR
636021138,Tanker,Oil or Chemical Tanker,RICHMOND PARK,LR
636021123,Cargo - Hazard A (Major),Container Ship,MSC ALANYA,LR
636021078,Cargo - Hazard D (Recognizable),Container Ship,MSC AZURIT F,LR
636021066,Tanker,Crude Oil Tanker,HILLAH,LR
636021036,Cargo - Hazard A (Major),Container Ship,BALTIMORE EXPRESS,LR
636021035,Cargo - Hazard B,Container Ship,SAVANNAH EXPRESS,LR
636020959,Cargo,Container Ship,SKYVIEW,LR
636020937,Cargo - Hazard A (Major),Container Ship,MSC YURIDA III,LR
636020936,Cargo,Container Ship,MSC BREMEN,LR
636020930,Cargo,Container Ship,MSC PATNAREE III,LR
