mmsi,type,type_specific,name,country_iso
314629000,Cargo,General Cargo,WILSON HANSTHOLM,BB
314621000,Cargo,General Cargo,WILSON DUSAVIK,BB
314607000,Cargo,General Cargo,WILSON SAIMAA,BB
314602000,Cargo,General Cargo,WILSON AMSTERDAM,BB
314583000,Cargo,General Cargo,WILSON LIVERPOOL,BB
314576000,Cargo,General Cargo,HAGRID,BB
314575000,Cargo,General Cargo,IDEFIX,BB
314549000,Cargo,Cargo or Containership,WILSON GOOLE,BB
314543000,Cargo,General Cargo,WILSON BILBAO,BB
314541000,Cargo,General Cargo,ARINDA JOY,BB
314540000,Cargo,Bulk Carrier,PRINCESS FAYZAH,BB
314470000,Cargo,General Cargo,C.EPSILON,BB
314464000,Cargo,General Cargo,WILSON AVEIRO,BB
314438000,Cargo,Cargo or Containership,WILSON THAMES,BB
314432000,Cargo,General Cargo,TC GLORY,BB
314431000,Cargo,General Cargo,INCRA,BB
314410000,Cargo,Cargo or Containership,CLAUDE A.DESGAGNES,BB
314398000,Cargo,General Cargo,WILSON FINNFJORD,BB
314396000,Cargo,General Cargo,WILSON FLUSHING,BB
314377000,Cargo,General Cargo,WILSON EYDE,BB
314237000,Cargo,General Cargo,WILSON GAETA,BB
314216000,Cargo,General Cargo,WILSON CADIZ,BB
314206000,,,,
314188000,,,,
312975000,Pleasure Craft,Pleasure Craft,PY MOTEK,BZ
312749000,Passenger,Yacht,ATLANTIC ENDEAVOUR,BZ
312641000,Pleasure Craft,Yacht,BAGHEERA,BZ
312434000,Other,Ro-Ro or Passenger Ship,NISSOS THIRASSIA,BZ
312172000,Pleasure Craft,Pleasure Craft,ARIEL,BZ
311775000,Tanker - Hazard D (Recognizable),LNG Tanker,LALLA FATMA N'SOUMER,BS
311733000,Passenger,Passenger Ship,ENCHANTMENT OF THE SEAS,BS
311728000,,,,
311697000,Cargo,Vehicles Carrier,MORNING CALM,BS
311622000,Passenger,Passenger Ship,SEVEN SEAS MARINER,BS
311595000,Cargo,Vehicles Carrier,RCC AMERICA,BS
311536000,Passenger,Passenger Ship,CRYSTAL SERENITY,BS
311513000,Passenger,Passenger Ship,SEVEN SEAS VOYAGER,BS
311476000,Tanker,Crude Oil Tanker,LIMERICK SPIRIT,BS
311378000,Passenger,Passenger Ship,MARELLA DISCOVERY 2,BS
311307000,Passenger,Passenger Ship,NORWEGIAN DAWN,BS
311288000,Cargo,Timber Carrier,SPRUCE ARROW,BS
311259000,Cargo,Timber Carrier,CEDAR ARROW,BS
311213000,Passenger,Passenger Ship,THE WORLD,BS
311153000,,,,
311085000,Passenger,Passenger Ship,STAR LEGEND,BS
311082000,Passenger,Passenger Ship,NORWEGIAN STAR,BS
311073800,Tanker,Crude Oil Tanker,EURO,BS
311050900,Passenger,Passenger Ship,NORWEGIAN GETAWAY,BS
311050800,Passenger,Passenger Ship,NORWEGIAN BREAKAWAY,BS
311048300,Cargo,Vehicles Carrier,RCC PRESTIGE,BS
311048200,Cargo,Vehicles Carrier,RCC PASSION,BS
311047300,Other,Crane Ship,SAIPEM FDS2,BS
311045500,Cargo - Hazard A (Major),Ro-Ro Cargo,AKNOUL,BS
311045300,Cargo,Vehicles Carrier,NEPTUNE ACE,BS
311044400,Cargo,General Cargo,JACAMAR ARROW,BS
311044300,Cargo,Timber Carrier,ARACARI ARROW,BS
311042900,Passenger,Passenger Ship,DISNEY DREAM,BS
311038900,Passenger,Passenger Ship,SEABOURN QUEST,BS
311033300,Cargo,Bulk Carrier,CS SONOMA,BS
311027100,Passenger,Passenger Ship,SEABOURN SOJOURN,BS
311019100,,,,
311018500,Passenger,Passenger Ship,NORWEGIAN EPIC,BS
311016600,Cargo,Bulk Carrier,CS CAPRICE,BS
311013400,Tanker,Crude Oil Tanker,OHIO,BS
311006300,Tanker - Hazard D (Recognizable),LNG Tanker,CHEIKH BOUAMAMA,BS
311005600,Cargo,Bulk Carrier,KASZUBY,BS
311004900,Cargo,Vehicles Carrier,SWIFT ACE,BS
311003400,Cargo,Vehicles Carrier,GUARDIAN LEADER,BS
311003200,Cargo,Vehicles Carrier,RCC ASIA,BS
311002800,Cargo,Vehicles Carrier,SERENITY HIGHWAY,BS
311001338,Cargo,General Cargo,LARCH ARROW,BS
311001297,Pleasure Craft,Pleasure Craft,BAD MUTHA,BS
311001281,Pleasure Craft,Pleasure Craft,ANAISA,BS
311001272,Tanker,Crude Oil Tanker,SONANGOL KULUMBIMBI,BS
311001243,,,,
311001240,Pleasure Craft,Yacht,MIZU,BS
311001228,Pleasure Craft,Pleasure Craft,NECTAR,BS
311001200,Tanker,Oil or Chemical Tanker,PETALOUDA,BS
311001189,Passenger,Passenger Ship,SILVER NOVA,BS
311001170,,,,
311001141,Passenger,Passenger Ship,AMBITION,BS
311001127,Passenger,Passenger Ship,NORWEGIAN VIVA,BS
311001081,Passenger,Passenger Ship,SEABOURN PURSUIT,BS
311001073,Cargo,Reefer,ICE GRACE,BS
311001063,Passenger,Passenger Ship,MARGARITAVILLE AT SEA ISLANDER,BS
311001059,Passenger,Passenger Ship,NORWEGIAN PRIMA,BS
311001053,Passenger,Passenger Ship,EMERALD AZZURRA,BS
311001046,Tanker,Crude Oil Tanker,CALYPSO,BS
311001044,Passenger,Passenger Ship,SILVER DAWN,BS
311001041,Cargo,Bulk Carrier,STAR LAPIS,BS
311001025,Tanker - Hazard A (Major),Crude Oil Tanker,THORNBURY,BS
311001024,,,,
311000992,Cargo,Reefer,BALTIC SUMMER,BS
311000987,Passenger,Passenger Ship,BOREALIS,BS
311000983,Passenger,Passenger Ship,VALIANT LADY,BS
311000932,Passenger,Passenger Ship,SILVER ENDEAVOUR,BS
311000912,Passenger,Passenger Ship,ODYSSEY OF THE SEAS,BS
311000899,Cargo,Bulk Carrier,LAKE PEARL,BS
311000801,Cargo,Reefer,CROWN OPAL,BS
311000796,Cargo,Reefer,CROWN RUBY,BS
311000788,Cargo,Reefer,CROWN TOPAZ,BS
311000782,Cargo,Reefer,CROWN GARNET,BS
311000719,Passenger,Passenger Ship,SILVER MOON,BS
311000660,Passenger,Passenger Ship,SYMPHONY OF THE SEAS,BS
311000585,Passenger,Passenger Ship,SEABOURN OVATION,BS
311000557,Cargo,General Cargo,JAMNO,BS
311000556,Cargo,General Cargo,GARDNO,BS
311000520,Tanker - Hazard C (Minor),LNG Tanker,SEAPEAK VANCOUVER,BS
311000458,Cargo,Vehicles Carrier,GLOVIS SIGMA,BS
311000357,Tanker,Crude Oil Tanker,YAMATO SPIRIT,BS
311000336,Tanker,Crude Oil Tanker,COPPER SPIRIT,BS
311000321,Cargo,Vehicles Carrier,HELIOS RAY,BS
311000306,Tanker,Crude Oil Tanker,ALFA BALTICA,BS
311000274,Passenger,Passenger Ship,ANTHEM OF THE SEAS,BS
311000253,Passenger,Passenger Ship,HEBRIDEAN SKY,BS
311000227,Tanker - Hazard A (Major),LNG Tanker,ASIA INTEGRITY,BS
311000225,Tanker,Oil Products Tanker,TARBET SPIRIT,BS
311000135,Tanker - Hazard A (Major),LNG Tanker,SEAPEAK METHANE,BS
311000103,Cargo,Vehicles Carrier,RCC AMSTERDAM,BS
310825000,Cargo,Container Ship,DUBLIN EXPRESS,BM
310811000,Passenger,Passenger Ship,CELESTYAL JOURNEY,BM
310805000,Passenger,Passenger Ship,RENAISSANCE,BM
310791000,Passenger,Passenger Ship,ENCHANTED PRINCESS,BM
310783000,Pleasure Craft,Pleasure Craft,AFRICAN,BM
310781000,Pleasure Craft,Yacht,TOUTE SWEET,BM
310780000,Passenger,Passenger Ship,SKY PRINCESS,BM
310779000,Tanker - Hazard D (Recognizable),LNG Tanker,GASLOG GLADSTONE,BM
310773000,Tanker - Hazard A (Major),LNG Tanker,GASLOG HONG KONG,BM
310765000,Cargo - Hazard A (Major),Container Ship,LONDON EXPRESS,BM
310764000,Cargo - Hazard A (Major),Container Ship,KOBE EXPRESS,BM
310761000,Cargo - Hazard A (Major),Container Ship,ONTARIO EXPRESS,BM
310744000,Tanker - Hazard A (Major),LNG Tanker,GASLOG GLASGOW,BM
310627060,Passenger,Passenger,QM2 TENDER 16,BM
310627040,Passenger,Passenger,QM2 TENDER 14,BM
310627030,Passenger,Passenger,QM2 TENDER13,BM
310627020,Passenger,Passenger,QM2 TENDER 12,BM
310627010,Passenger,Passenger,627 10 97,BM
310627000,Passenger,Passenger Ship,QUEEN MARY 2,BM
310625000,Passenger,Passenger Ship,QUEEN ELIZABETH,BM
310624000,Passenger,Passenger Ship,QUEEN VICTORIA,BM
310610000,Passenger,Passenger Ship,AZURA,BM
310547000,Pleasure Craft,Yacht,NAFISA,BM
310459000,Passenger,Passenger Ship,ARCADIA,BM
310384000,Passenger,Passenger Ship,ISLAND PRINCESS,BM
310376000,Passenger,Passenger Ship,CORAL PRINCESS,BM
310181000,Pleasure Craft,Yacht,VIRGINIAN,BM
310132000,Cargo - Hazard D (Recognizable),Container Ship,LISBON EXPRESS,BM
310079000,Pleasure Craft,Pleasure Craft,TAOUEY,BM
310051000,Pleasure Craft,Yacht,TALITHA,BM
310013000,Pleasure Craft,Yacht,ATLANTIS II,BM
309979000,Tanker - Hazard D (Recognizable),LNG Tanker,CHEIKH EL MOKRANI,BS
309951000,Passenger,Passenger Ship,NORWEGIAN GEM,BS
309938000,Cargo,Cargo or Containership,WAGON C,BS
309586000,Cargo,Vehicles Carrier,NORDIC RAY,BS
309253000,Cargo,Vehicles Carrier,GRACEFUL LEADER,BS
309242000,Passenger,Passenger Ship,WIND SURF,BS
309221000,Pleasure Craft,Yacht,LADY MOURA,BS
309163000,Passenger,Passenger Ship,WIND STAR,BS
308921000,Cargo,Vehicles Carrier,TAIPAN,BS
308908000,Passenger,Passenger Ship,SEADREAM 1,BS
308726000,Cargo,Vehicles Carrier,PLATINUM RAY,BS
308691000,Sailing Vessel,Yacht,UNPLUGGED,BS
308688000,Cargo,Vehicles Carrier,EMERALD LEADER,BS
308645000,Pleasure Craft,Yacht,ESMERALDA,BS
308445000,Passenger,Passenger Ship,AMADEA,BS
308416000,Passenger,Passenger Ship,NORWEGIAN JADE,BS
308329000,Tanker,Crude Oil Tanker,ZENITH SPIRIT,BS
308311000,Passenger,Passenger Ship,SEADREAM II,BS
308038000,Cargo,Vehicles Carrier,CORAL LEADER,BS
305972000,,,,
305928000,Cargo,General Cargo,FEHN CALYPSO,AG
305919000,Cargo,General Cargo,BENABELL G.,AG
305908000,Cargo,General Cargo,BBC RUBY,AG
305885000,Cargo,General Cargo,BBC XINGANG,AG
305866000,,,,
305864000,Cargo,General Cargo,BBC RUSHMORE,AG
305859000,Cargo,General Cargo,BBC SAPPHIRE,AG
305857000,Cargo,General Cargo,BBC EMERALD,AG
305856000,Cargo,General Cargo,BBC MOONSTONE,AG
305855000,Cargo,General Cargo,BBC PEARL,AG
305853000,Cargo,General Cargo,BBC CORAL,AG
305847000,Cargo,General Cargo,BBC BAHRAIN,AG
305813000,Cargo,General Cargo,WILSON DIEPPE,AG
305810000,Cargo,General Cargo,WILSON DAGENHAM,AG
305803000,Cargo,General Cargo,BBC UKRAINE,AG
305737000,Cargo,General Cargo,SLOMAN DISCOVERER,AG
305730000,Cargo,General Cargo,BBC BALBOA,AG
305718000,Cargo,General Cargo,BBC AMETHYST,AG
305700000,Cargo,General Cargo,FRANZISKA,AG
305655000,Cargo,General Cargo,JOE,AG
305650000,,,,
305641000,Cargo,General Cargo,AMBER STAR,AG
305631000,Cargo,General Cargo,OSTBENSE,AG
305630000,Cargo,General Cargo,BBC ELISABETH,AG
305614000,,,,
305590000,Cargo,General Cargo,BBC SEINE,AG
305566000,Cargo,Cargo or Containership,BLUE TUNE,AG
305565000,Cargo,General Cargo,BLUE NOTE,AG
305546000,Cargo,General Cargo,BBC NAPLES,AG
305536000,Cargo,General Cargo,BBC ECHO,AG
305533000,Cargo,General Cargo,HILKE,AG
305512000,Cargo,General Cargo,BBC BANGKOK,AG
305484000,,,,
305473000,Cargo - Hazard A (Major),Container Ship,SIARGAO,AG
305472000,Cargo,General Cargo,BBC EDGE,AG
305412000,Cargo,Container Ship,SUNSET X,AG
305372000,Cargo,General Cargo,BBC GDANSK,AG
305370000,Cargo,General Cargo,CAROLIN G.,AG
305322000,Cargo,General Cargo,ANMIRO,AG
305302000,Cargo,General Cargo,BBC AUSTRIA,AG
305295000,,,,
305271000,Cargo,General Cargo,CELTIC CHALLENGER,AG
305242000,Cargo,General Cargo,LEONIE,AG
305230000,Cargo - Hazard A (Major),Container Ship,MINDORO,AG
305187000,Cargo,General Cargo,BBC DART,AG
305176000,Cargo,General Cargo,MIRANDA,AG
305172000,Cargo,General Cargo,COE LUISA,AG
305164000,Cargo,General Cargo,FRAUKE,AG
305161000,Cargo,General Cargo,EVA,AG
305159000,Cargo,General Cargo,BBC GEORGIA,AG
305128000,Cargo,General Cargo,UML VERONICA,AG
305089000,Cargo,General Cargo,MONIKA,AG
305075000,Cargo,General Cargo,O7 LAFITE,AG
305046000,Cargo,General Cargo,UNISUN,AG
304990000,Sailing Vessel,Sailing Vessel,MARIELLA,AG
304959000,Cargo,Container Ship,MARINA L,AG
304924000,Cargo,General Cargo,KAROLINE,AG
304905000,Cargo,General Cargo,CELTIC EXPLORER,AG
304888000,,,,
304883000,Cargo,General Cargo,BBC ST.PETERSBURG,AG
304846000,Cargo - Hazard A (Major),Container Ship,EMILIA,AG
304785000,Cargo,General Cargo,ELENA B,AG
304738000,Cargo,General Cargo,VIKTORIA B,AG
304724000,Cargo - Hazard A (Major),General Cargo,ABB VICTORIA,AG
304656000,,,,
304655000,Cargo,General Cargo,GULF WIND,AG
304633000,Cargo,General Cargo,HAV GROUPER,AG
304628000,,,,
304588000,Cargo,General Cargo,BARBARA B,AG
304587000,Cargo,General Cargo,ONEGO EMS,AG
304578000,Cargo,General Cargo,GULF ANGEL,AG
304571000,Cargo,General Cargo,SLOMAN DISCHARGER,AG
304512000,,,,
304491000,Cargo,Cargo or Containership,NORMAN,AG
304462000,Cargo,General Cargo,RHODANUS,AG
304374000,Cargo,Container Ship,FREDERIK,AG
304354000,Cargo,General Cargo,LUMEN,AG
304320000,Cargo,General Cargo,GULF,AG
304302000,Cargo,Cargo or Containership,GULF WEST,AG
304288000,Cargo,General Cargo,CENTURY MAS,AG
304251000,Cargo,General Cargo,RIVER MAS,AG
304214000,Cargo,General Cargo,WERRATAL,AG
304200000,Cargo,General Cargo,BBC SCANDINAVIA,AG
304127000,Cargo,General Cargo,BBC ORION,AG
304092000,Cargo,Fire Fighting Vessel,HF HUNTER,AG
304087000,Cargo,General Cargo,ANTWERP,AG
304080796,,,,
304072000,Cargo,General Cargo,SILVER LION,AG
304070000,Tanker,Oil or Chemical Tanker,SLOMAN HESTIA,AG
304036000,Cargo,General Cargo,HAV PIKE,AG
304010986,Cargo,General Cargo,GULF BLUE,AG
304010228,Cargo,General Cargo,PAULA,AG
303940000,Cargo,Logistics Naval Vessel,CAPE WRATH,US
299999999,Fishing,Fishing Vessel,TEST,RU
278001540,Pleasure Craft,Pleasure Craft,ATLANTIS,SI
278001088,Pleasure Craft,Pleasure Craft,MAUPITI,SI
278001067,Pleasure Craft,Pleasure Craft,FALCOR,SI
277562000,Cargo - Hazard A (Major),Container Ship,SONATA,LT
277551000,Cargo,General Cargo,ARAMIS,LT
277549000,Cargo,General Cargo,KANTATA,LT
277373000,Cargo,General Cargo,CONFIDENCE,LT
277344000,,Unspecified,LYRILA,LT
277334000,Cargo,General Cargo,ARINA,LT
277324000,Cargo,General Cargo,AFALINA,LT
277188760,Pleasure Craft,Pleasure Craft,STELLA,LT
277177430,Sailing Vessel,Sailing Vessel,MARISA,LT
276013130,Sailing Vessel,Sailing Vessel,NAOMA,EE
276005750,Sailing Vessel,Sailing Vessel,FURIOSA,EE
275540000,Cargo,General Cargo,JAN LAURENZ,LV
275523000,Cargo,General Cargo,ALDEBARAN,LV
275507000,Tug,General Cargo,LIBERO,LV
275496000,Cargo,General Cargo,RURIK,LV
275467000,Cargo,General Cargo,FEHN COURAGE,LV
275049270,Sailing Vessel,Sailing Vessel,SPICE,LV
275041098,Pleasure Craft,Pleasure Craft,ALEXANDRA,LV
275031000,Cargo,General Cargo,AMPERE,LV
271051833,,,BOGACAY LVII,
271051573,Pleasure Craft,Yacht,WHITE ISLAND,TR
271051067,Cargo,General Cargo,VENTO,TR
271050683,,,,
271050679,Cargo - Hazard A (Major),Container Ship,KAPPA,TR
271050642,Tanker,Oil or Chemical Tanker,TEO ATK,TR
271050524,Cargo,Bulk Carrier,SWORD LION,TR
271049458,Tanker,Oil or Chemical Tanker,SELENA ATK,TR
271049308,Tanker,Oil or Chemical Tanker,KARLICA,TR
271048676,,,,
271046502,Sailing Vessel,Sailing Vessel,XANTHIPPE,TR
271045960,Pleasure Craft,Pleasure Craft,MISHI,TR
271045934,Pleasure Craft,Pleasure Craft,FUNDAMENTAL,TR
271045646,Cargo,General Cargo,GARIP BABA,TR
271045019,,,,
271044971,,,,
271044643,,,,
271044604,Cargo,General Cargo,TUGBERK IMAMOGLU,TR
271044570,,,,
271044519,,,,
271044357,Tanker,Oil or Chemical Tanker,ALATEPE,TR
271044070,Cargo - Hazard A (Major),Container Ship,MARTHA A,TR
271043776,Tanker,Oil or Chemical Tanker,DUZGIT DIGNITY,TR
271043303,Cargo - Hazard A (Major),Ro-Ro Cargo,PERGAMON SEAWAYS,TR
271040948,Cargo,Ro-Ro Cargo,GALATA SEAWAYS,TR
271040669,,,,
271040601,,,,
271040150,Cargo,General Cargo,UGURS,TR
271002676,Cargo,Ro-Ro Cargo,MYRA SEAWAYS,TR
271002668,,,,
271002601,Tanker,Oil or Chemical Tanker,MG DERIN,TR
271002572,Cargo - Hazard A (Major),Ro-Ro Cargo,ZEUGMA SEAWAYS,TR
271002571,Cargo - Hazard A (Major),Ro-Ro Cargo,SUMELA SEAWAYS,TR
271002439,Reserved,General Cargo,HACI ALI RIZA,TR
271000910,Cargo,General Cargo,BARON,TR
271000833,Cargo,General Cargo,ASLI ELIF,TR
271000793,Cargo - Hazard A (Major),Ro-Ro Cargo,DARDANELLES SEAWAYS,TR
271000792,Cargo - Hazard A (Major),Ro-Ro Cargo,ASPENDOS SEAWAYS,TR
271000768,Unspecified,Unspecified,V MUAZZEZ K,TR
271000744,Cargo,Container Ship,KARLA A,TR
271000724,Cargo,Cargo,IBRAHIM KARABEKIR,TR
271000691,Cargo,Container Ship,BURAK BAYRAKTAR,TR
271000662,Cargo - Hazard A (Major),Ro-Ro Cargo,OLYMPOS SEAWAYS,TR
271000623,Cargo,Ro-Ro Cargo,GALLIPOLI SEAWAYS,TR
271000426,Cargo,Ro-Ro Cargo,ULUSOY 5,TR
271000419,Cargo,Ro-Ro Cargo,SAFFET BEY,TR
270875000,Sailing Vessel,Sailing Vessel,OIKOS,CZ
270650000,Sailing Vessel,Sailing Vessel,ICONIC,CZ
270645000,Sailing Vessel,Sailing Vessel,LUDMILA,CZ
270592000,Sailing Vessel,Sailing Vessel,MR.FOX,CZ
270584000,Sailing Vessel,Sailing Vessel,DARING SISTERS,CZ
270467000,Sailing Vessel,Sailing Vessel,LA GRACE,CZ
269967000,Pleasure Craft,Pleasure Craft,PASCIA,CH
269918000,Sailing Vessel,Sailing Vessel,BIG DAYS,CH
269888000,Sailing Vessel,"Inland, Unknown",JASBID W2,CH
269858000,Sailing Vessel,Sailing Vessel,MUSIC,CH
269839000,Sailing Vessel,Sailing Vessel,SCHNUFAO,CH
269819000,Sailing Vessel,Sailing Vessel,NORINA,CH
269714000,Sailing Vessel,Sailing Vessel,HELENA 1913,CH
269566000,Sailing Vessel,Sailing Vessel,GINGER,CH
269552000,Pleasure Craft,Pleasure Craft,DAEDALUS,CH
269280000,Sailing Vessel,Sailing Vessel,YATRA,CH
269118960,Pleasure Craft,Pleasure Craft,NOEL,CH
269118400,Pleasure Craft,Pleasure Craft,ESYA,CH
269118370,Sailing Vessel,Sailing Vessel,FUJIN,CH
269118310,Pleasure Craft,Pleasure Craft,WINDROSE,CH
269118120,Sailing Vessel,Sailing Vessel,LUPITA,CH
269118100,Pleasure Craft,Pleasure Craft,EL DIABLO,CH
269118080,Sailing Vessel,Sailing Vessel,TIGRESS,CH
269117970,Sailing Vessel,Sailing Vessel,TACTAC,CH
269117530,Sailing Vessel,Sailing Vessel,ANANKE,CH
269117460,,,,
269117360,Sailing Vessel,Sailing Vessel,SAMURAI,CH
269117300,Sailing Vessel,Sailing Vessel,LYRA,CH
269116850,Sailing Vessel,Sailing Vessel,ZURI,CH
269116830,Pleasure Craft,Pleasure Craft,BAMBU 4,CH
269116570,Pleasure Craft,Pleasure Craft,OLD HELENA,CH
269116300,Sailing Vessel,Sailing Vessel,ATIKA TRI,CH
269116050,Sailing Vessel,Sailing Vessel,AVENTURA,CH
269116040,Sailing Vessel,Sailing Vessel,NAUTILIA,CH
269115980,Sailing Vessel,Sailing Vessel,AYO,CH
269115950,Sailing Vessel,Sailing Vessel,TATAJUBA,CH
269115720,Pleasure Craft,Pleasure Craft,ANDIAMO,CH
269114470,Sailing Vessel,Sailing Vessel,SPINDRIFT OF HAMBLE,CH
269112690,Pleasure Craft,Pleasure Craft,POCO LOCO,CH
269112590,Sailing Vessel,Sailing Vessel,MAONA,CH
269112580,Sailing Vessel,Sailing Vessel,QUADRIFOGLIO,CH
269112430,Sailing Vessel,Sailing Vessel,BIKINI,CH
269112420,Sailing Vessel,Sailing Vessel,LAGOSTA,CH
269112040,Pleasure Craft,Pleasure Craft,WILLOW,CH
269112010,Sailing Vessel,Sailing Vessel,LEO MARIS,CH
269111990,Sailing Vessel,Sailing Vessel,CARA MIA,CH
269111320,Sailing Vessel,Sailing Vessel,MALAIKA,CH
269110970,Sailing Vessel,Sailing Vessel,APANI,CH
269110820,Sailing Vessel,Sailing Vessel,MARFA,CH
269110590,Sailing Vessel,Sailing Vessel,DIAMANTA,CH
269110350,Pleasure Craft,Pleasure Craft,ANYWAY,CH
269110040,Sailing Vessel,Sailing Vessel,BAILADORA,CH
269109980,Sailing Vessel,Sailing Vessel,CATALEYA,CH
269109960,Sailing Vessel,Sailing Vessel,BLUE ORIALINE,CH
269109930,Sailing Vessel,Sailing Vessel,LIARA,CH
269109680,Pleasure Craft,Pleasure Craft,NADA,CH
269109270,Sailing Vessel,Sailing Vessel,SAIDA,CH
269108980,Sailing Vessel,Sailing Vessel,SOLEIL,CH
269108730,Sailing Vessel,Sailing Vessel,NAIA,CH
269108350,Sailing Vessel,Sailing Vessel,CHAMAN,CH
269108340,Pleasure Craft,Pleasure Craft,INARI,CH
269108280,Sailing Vessel,Sailing Vessel,ORIALINE,CH
269108200,Sailing Vessel,Sailing Vessel,AGAPE,CH
269107850,Sailing Vessel,Sailing Vessel,MALENA,CH
269107080,Sailing Vessel,Sailing Vessel,INFINITY,CH
269107030,Sailing Vessel,Sailing Vessel,HARMONIE,CH
269106360,Sailing Vessel,Sailing Vessel,BOHEME,CH
269105960,Sailing Vessel,Sailing Vessel,JOHARA II,CH
269105230,Sailing Vessel,Sailing Vessel,CAPREA II,CH
269105180,Pleasure Craft,Pleasure Craft,PATNA II,CH
269103970,Sailing Vessel,Sailing Vessel,SAPMA,CH
269102760,Sailing Vessel,Sailing Vessel,BUSCOLANTE III,CH
269101980,Sailing Vessel,Sailing Vessel,SOHAM,CH
269101930,Pleasure Craft,Pleasure Craft,FLYING SWISS V,CH
269101870,Sailing Vessel,Sailing Vessel,CEPHEE,CH
269101150,Sailing Vessel,Sailing Vessel,LIFGUN,CH
269014000,Sailing Vessel,Sailing Vessel,SARISSA,CH
268454946,Pleasure Craft,Pleasure Craft,MINI K2,SM
268239600,Pleasure Craft,Pleasure Craft,HAY VIVIR,SM
268239301,Sailing Vessel,Sailing Vessel,JUST LIKE THIS,SM
268238400,Sailing Vessel,Sailing Vessel,VICTORIA II,SM
268237900,Pleasure Craft,Pleasure Craft,MY UILIA,SM
268234201,,,,
268234101,Sailing Vessel,Sailing Vessel,POPCORN,SM
268226500,Pleasure Craft,Pleasure Craft,SEAHUNTERS,SM
268224800,Sailing Vessel,Sailing Vessel,SURREAL,SM
268223901,Pleasure Craft,Pleasure Craft,SWEET COMPENSATION,SM
268222200,Sailing Vessel,Sailing Vessel,DACAPO,SM
268221501,Sailing Vessel,Sailing Vessel,GRAND BLEU,SM
268221101,Sailing Vessel,Sailing Vessel,VAGAMONDA,SM
268200100,Pleasure Craft,Pleasure Craft,ELIOS,SM
267210185,Sailing Vessel,Sailing Vessel,AVAR,SK
266462000,Pleasure Craft,Pleasure Craft,FORTUNA,SE
266232000,Cargo,Ro-Ro Cargo,TAVASTLAND,SE
265884000,Cargo,Vehicles Carrier,UNDINE,SE
265831810,Pleasure Craft,Pleasure Craft,FRIDA AF WISBY,SE
265818680,Sailing Vessel,Sailing Vessel,LADY ANNA,SE
265805020,Sailing Vessel,Sailing Vessel,VISION,SE
265781010,Sailing Vessel,Sailing Vessel,MATADOR,SE
265778930,Pleasure Craft,Pleasure Craft,LILITH,SE
265694870,Sailing Vessel,Sailing Vessel,SEA BREEZE,SE
265693780,Pleasure Craft,Pleasure Craft,AKRON AOTON,SE
265663260,Sailing Vessel,Sailing Vessel,BONITA BLANCA,SE
265628970,Pleasure Craft,Pleasure Craft,AGLAIA,SE
265628360,Pleasure Craft,Pleasure Craft,SPRING MOON,SE
265600660,Sailing Vessel,Sailing Vessel,GUNGA DIN,SE
265544490,Pleasure Craft,Pleasure Craft,SPIRIT,SE
265183000,Sailing Vessel,Sailing Vessel,JENNIFER,SE
265048380,Sailing Vessel,Sailing Vessel,GUNSAN,SE
265024020,Pleasure Craft,Pleasure Craft,FRAM,SE
265020860,Sailing Vessel,Sailing Vessel,SWEE,SE
265012000,Cargo,Vehicles Carrier,TRAVIATA,SE
265000520,Sailing Vessel,Sailing Vessel,COANDA,SE
263959932,Pleasure Craft,Pleasure Craft,CACAO,PT
263922250,Sailing Vessel,Sailing Vessel,MALVASIA I,PT
263442185,Pleasure Craft,Pleasure Craft,PRICCI,PT
263442069,,,,
263441660,Sailing Vessel,Sailing Vessel,OJOY,PT
262077400,Sailing Vessel,Sailing Vessel,VOYAGER,ME
261186600,Sailing Vessel,Sailing Vessel,GRAZIE MAMMA,PL
261146000,Sailing Vessel,Sailing Vessel,POGORIA,PL
261081010,Pleasure Craft,Pleasure Craft,I LOVE POLAND,PL
261023820,Sailing Vessel,Sailing Vessel,SEICHE,PL
261009096,Sailing Vessel,Sailing Vessel,AUDACE,PL
261004145,Sailing Vessel,Sailing Vessel,SAGARMATHA,PL
261004118,Sailing Vessel,Sailing Vessel,LYS 2,PL
261003979,Pleasure Craft,Pleasure Craft,A4A,PL
261003924,Sailing Vessel,Sailing Vessel,MAGIC,PL
261003909,Pleasure Craft,Pleasure Craft,CHAYKA,PL
261003872,Sailing Vessel,Sailing Vessel,SEATHERAPY,PL
261003851,Pleasure Craft,Pleasure Craft,AMILEO,PL
261003602,Sailing Vessel,Sailing Vessel,HERMINA,PL
261003565,Pleasure Craft,Pleasure Craft,GAS GAS 2,PL
261003500,Pleasure Craft,Pleasure Craft,UKIEL,PL
261003437,Pleasure Craft,Pleasure Craft,FILIP THE THIRD,PL
261003401,Sailing Vessel,Sailing Vessel,ZINGARO,PL
261003256,Sailing Vessel,Sailing Vessel,RUMI,PL
261003176,Pleasure Craft,Pleasure Craft,BIG BANG,PL
261003174,Sailing Vessel,Sailing Vessel,VAGUALAM,PL
261003007,Sailing Vessel,Sailing Vessel,SOL,PL
261003002,Sailing Vessel,Sailing Vessel,AGUAMENTI,PL
261002967,Pleasure Craft,Pleasure Craft,E.T,PL
261002882,Pleasure Craft,Pleasure Craft,BREEZE,PL
261002441,Sailing Vessel,Sailing Vessel,ALAIA,PL
